data,tasso_positivita,tasso_positivita_GaussianProcesses,tasso_positivita_MultilayerPerceptron,tasso_positivita_LinearRegression,tasso_positivita_SMOreg
2022-03-24,,19.523806476110092,15.28594308967741,15.767621760822076,37.58231472866645
2022-03-25,,19.357592011307453,16.88160747447449,15.900781588471267,38.00113336956258
2022-03-26,,19.017097084616545,16.204813175395742,13.876812968802497,37.988626891914336
2022-03-27,,19.99047712282262,17.509515490865567,16.049713014543915,39.02455652840791
2022-03-28,,20.435007364815135,17.69147863884102,16.088412440725147,40.037548732681984
2022-03-29,,18.93340668936805,14.294542826274704,14.347422585366134,39.33373749369596
2022-03-30,,19.57217883224861,15.335315052990833,14.444585032480672,40.59375936141939
2022-03-31,,20.367345667078574,15.371342169415334,16.578353416685935,41.36433873373781
2022-04-01,,18.874884260683487,14.671793482062272,15.240173006799962,41.241364840436304
2022-04-02,,18.535474281254434,10.943745578687121,13.12089910494573,41.29682581971545
2022-04-03,,19.523533103768717,14.647765531136766,15.408212685774869,42.36824513229128
2022-04-04,,19.978783618424703,14.252075600775422,15.462851162272038,43.476645596143996
2022-04-05,,18.424457881596993,12.611513912081868,13.569113098920843,42.6024057914634
2022-04-06,,19.074395404835588,13.509561298971057,13.669713311534428,43.932383093324844
2022-04-07,,19.88267706960589,14.28297382356977,15.940955242778887,44.781385706766784
2022-04-08,,19.040385614744658,15.390569756562254,14.840259677896045,44.757564249370716
2022-04-09,,18.700774784146812,10.103129299330028,12.61396894687655,44.87698334732505
2022-04-10,,19.702811051082513,14.79691883229677,15.023915694285813,45.99001143956477
2022-04-11,,20.167134346429958,13.195281989027645,15.09135970704533,47.19185909827415
2022-04-12,,18.578548534839516,12.20967923680176,13.045063464975637,46.17149637322207
2022-04-13,,19.238840892119633,13.322241924834795,13.148405070202294,47.57426523713066
2022-04-14,,20.059361249490134,14.287442489179762,15.562198047564719,48.500890379026345
2022-04-15,,19.546719823382123,14.949558596294297,14.645916854038767,48.568023634601076
2022-04-16,,19.20677989526828,9.692899888550013,12.300662893348505,48.74889587327239
